Start,End,Work,Game,Movie,Reading,Browsing,Youtube,Chores,Netflix,Cooking,Social,Teaching,Other...
14-12-14 11:52,14-12-14 12:38,,SF4,,,,,,,,,,
14-12-14 12:38,14-12-14 13:04,,,,,,,x,,,,,
14-12-14 13:13,14-12-14 14:48,Data Visualization,,,,,,,,,,,
14-12-14 14:54,14-12-14 17:29,Setting up a closet,,,,,,,,,,,
14-12-14 17:39,14-12-14 17:59,,,,,,,,,Potatoes,,,
14-12-14 17:59,14-12-14 18:22,,,,,,x,,,,,,
14-12-14 18:22,14-12-14 19:29,,GW2,,,,,,,,,,
14-12-14 19:29,14-12-14 22:58,Data Visualization,,,,,,,,,,,
15-12-14 14:32,15-12-14 15:23,Design Ethics,,,,,,,,,,,
15-12-14 15:26,15-12-14 15:38,,,,,,x,,,,,,
15-12-14 15:42,15-12-14 16:00,Lonnekebakker.com,,,,,,,,,,,
15-12-14 16:10,15-12-14 17:18,,GW2,,,,,,,,,,
15-12-14 17:18,15-12-14 17:45,,,,,,,x,,,,,
15-12-14 17:45,15-12-14 18:05,,,,,,,,,Fusilli,,,
15-12-14 18:05,15-12-14 18:24,,,,,,x,,,,,,
15-12-14 18:24,15-12-14 19:02,,,,,x,,,,,,,
15-12-14 19:02,15-12-14 19:17,,,,,,x,,,,,,
15-12-14 19:17,15-12-14 20:08,,GW2,,,,,,,,,,
15-12-14 20:12,15-12-14 20:32,,SF4,,,,,,,,,,
15-12-14 20:41,,,,,"Ethics, technology, and engineering",,,,,,,,
16-12-14 17:09,16-12-14 17:44,,,,,,,,,x,,,
16-12-14 17:45,16-12-14 18:05,,,,,,x,,,,,,
16-12-14 18:08,,,,,,x,,,,,,,
17-12-14 19:42,17-12-14 19:54,,,,,,x,,,,,,
17-12-14 19:54,17-12-14 20:17,,,,,,,x,,,,,
18-12-14 18:58,18-12-14 19:25,,,,,,,x,,,,,
18-12-14 19:25,18-12-14 19:38,,,,,,x,,,,,,
18-12-14 19:38,18-12-14 20:07,,,,,x,,,,,,,
18-12-14 20:07,18-12-14 22:24,,GW2,,,,,,,,,,
18-12-14 22:24,,,,,,,,x,,,,,
